0.00   2.188 1.24
0.10   1.941 1.54
0.20   1.543 2.21 
0.40   0.595 5.10
0.60  -0.295 11.54
0.70  -0.681 19.26
0.80  -1.038 50.9
0.90  -1.581 170.
0.95  -2.102 1100.
0.98  -2.842 25000.
0.99  -3.489 130000.
0.996 -4.588 24000.
0.999 -5.937 970.
